question;option1;option2;option3;option4;correct-option
The future of marketing will be:;Mass standardized marketing;Clustered marketing;Emotional marketing;Personalised selling and marketing;Personalised selling and marketing
The starting point for design of a good marketing plan is:;Advertising content;Advertising medium;Expectation discovery;Promotion plan;Expectation discovery
The fundamental driver to enter a macro market (such as a Country or Regional Bloc) is:;GDP or Economic size;Social trends;Individual values;Education;GDP or Economic size
VALS segmentation system is in the nature of:;Demography;Psychography;Geography;Technology;Psychography
The challenge of defining market segments lies, in relative terms, in:;Identifying heterogeneity within heterogeneity;Identifying heterogeneity within homogeneity;Identifying homogeneity within homogeneity;Identifying homogeneity within heterogeneity;Identifying homogeneity within heterogeneity
Mobility as a market requires:;Marketing of service and spare parts;Operational models of expansion;Servitization of an automobile as a service;Marketing of automobiles;Servitization of an automobile as a service
Niche market strategy requires analysis of a market based on:;Basic features and benefits required;Special differentiated features and benefits required;High scale and low price;Commodity perspective;Special differentiated features and benefits required
Occasionally, when the same market is catered to by multiple products of different technologies (for example, clean mobility by electric, hydrogen, solar vehicles), it is called:;Segment-driven by products;Product-driven segmentation;Product-integrated segments;Product-diversified segments;Product-driven segmentation
To review product-market strategies, besides looking at market attractiveness, the company also must look at its own:;Dreams;Aspirations;Competitive position;Past history;Competitive position
Business development in cosmetics is linked to:;A few standard colours;A few standard designs;High product segmentation;A few standard ingredients;High product segmentation
In the analysis of the matrix of market attractiveness and competitive position, the following must be taken into account:;Absolute investment;Absolute profit;Return on investment;Absolute revenue;Return on investment
Internet social media, despite the common global branding, is:;Geographically universal;Universally singular;Geographically segmented;None of the above;Geographically segmented
In recent years, there has been a realization of the power of peer influence and customer recommendation over other forms of marketing in building brands. This has led to:;Influential marketing;Confluent marketing;Influencer marketing;Contrarian marketing;Influencer marketing
One of the statistical tools for product positioning is:;Linear Programming;Probability;Measures of Central Tendency;Conjoint Analysis;Conjoint Analysis
For an effective brand audit, one must go beyond market share. One such outcome dimension is:;Share of revenue;Share of profit;Share of advertising;Share of mind;Share of mind
For successful business development, First-to-market has to be accompanied by:;Fast-to-market;Go to market;Right-to-market;Quick to change;Right-to-market
The advertisement strategy and content for a product or service stems from:;The retail stores;The customers;The brand objectives;The sales targets;The brand objectives
Which of the following is not a part of the Balanced Scorecard for sales function?;Customer satisfaction;Sales performance;Learning and development;Training production operators;Training production operators
The right sequence of consumer conversion effort is:;Awareness-Trial-Purchase-Reorder;Awareness-Purchase-Trial-Reorder;Trial-Purchase-Reorder-Awareness;Awareness-Purchase-Reorder-Trial;Awareness-Trial-Purchase-Reorder
The combined set of advantages of digital advertising, relative to other AV advertisements is:;Adaptability to different contexts and platforms;Flexibility to edit on the go;Cost-effective budgeting;All the above;All the above
Product as a Service (PaaS) helps in:;Linear economy;Consumption economy;Circular economy;Flat economy;Circular economy
The strategy of pricing high based on consumer surplus is called:;Price exploitation;Price calibration;Price skimming;Price floating;Price skimming
The essential foundation of product brand building is:;Product quality;Product name;Product price;Product variety;Product quality
Happiest Minds' business development structure pertained to:;Licensing and franchising;Joint ventures;Subsidiaries;Alliances and partnerships;Alliances and partnerships
Nirma's detergent product innovation which captured the market is called:;High-end innovation;Cheap innovation;Frugal innovation;Reverse engineering;Frugal innovation
Nirma's entry into pharmaceuticals where company had no experience demonstrates the power of the following strategy in business development:;Organic innovation;Organic diversification;Acquisition;Joint venture;Acquisition
To be successful in business, Delhivery adopted, from the initial years, a strategy of:;Complete international coverage;Complete national coverage;Focusing only on a few states;Focusing only on North Indian operations;Complete national coverage
Delhivery adopts for distribution and transportation efficiency:;A linear model;A random model;A hub and spoke model;A mesh model;A mesh model
For Zydus Wellness, Glucon-D is:;A semi-organic brand;An organic brand;An acquired brand;None of the above;An acquired brand
The biggest booster for Sugar Free came from its transition of positioning from:;Aspartame to Natura;Natura to Stevia;Medical product to Wellness product;Stevia to SugarLite;Medical product to Wellness product
Airtel case study proves that the key to competitive advantage in a service industry lies in:;Quality of Service;Price of service;Type of service;Nature of service;Quality of Service
Airtel case study proves that the key to sustainable business development in a highly technology and investment intensive business is:;Niche;Standardisation;Scale;Specialisation;Scale
When Party A gives the rights to Party B to represent Party A and sell the goods and services of Party A in an assigned territory, it is called:;Joint venture;Franchising;Subsidiary;Coalition;Franchising
Technical collaborations have been responsible for the establishment and initial growth of the following industry in India in the 1950s:;Healthcare;Hospitality;Commercial vehicles;Dairy;Commercial vehicles
A strategic alliance brings the strengths of the partners together but:;Creates a new legal entity in the process;Does not create a new legal entity in the process;Also invests in the two companies;None of the above;Does not create a new legal entity in the process
Strategic alliances require a level of due diligence that is:;Higher than that of M&A;Higher than that of subsidiaries;Higher than that of joint ventures;Higher than that of collaborations and lower than that of joint ventures;Higher than that of collaborations and lower than that of joint ventures
Joint ventures are more involved forms of collaboration between two companies which create:;New alliances without any capital structure;Mergers in due course;New legal entities with specific intentions;Stress between the partners;New legal entities with specific intentions
Joint ventures offer a more robust platform for sustainability and growth because of:;They being joint;They being ventures;They not being individual ventures;The committed lock-in relationship of the parents in the new entity;The committed lock-in relationship of the parents in the new entity
A subsidiary company is a company owned by another company called the:;Parent or holding company;Licensing company;Franchising company;Alliance company;Parent or holding company
When the company has many sub-businesses that it needs to look after in the country, the following route is adopted:;Parental subsidiary;Domestic step-up subsidiary;Domestic step-down subsidiary;Tactical subsidiary;Domestic step-down subsidiary
A merger that expands the business canvas of two companies in the same domain is called:;Vertical merger;Conglomerate merger;Horizontal merger;Absorption merger;Horizontal merger
Smaller acquisitions, which bring selective capabilities into the fold of the acquiring company, are termed as:;Bolt-on acquisitions;Bolt-off acquisitions;Bolt and nut acquisitions;Bolt to bolt acquisitions;Bolt-on acquisitions
Lean industrial and business value chains are nowadays tending to be:;Asset-heavy and agile;Asset-light and slow;Asset-heavy and slow;Asset-light and agile;Asset-light and agile
A company's value chain can be, partially or substantially:;Outsourced;Offshored;Outsourced and/or offshored;None of the above;Outsourced and/or offshored
Strategic supply chain globalization model has been perfected by:;Air India;Lufthansa;Apple;Tata Motors;Apple
The highest level of risk in R&D is entailed in:;Basic and fundamental research;Export-oriented research;Import-oriented research;Exploratory research;Basic and fundamental research
Operations function of a company seeks to:;Only maximise the efficiency;Only maximise the effectiveness;Maximise quality rather than efficiency or effectiveness;Maximise quality, efficiency and effectiveness;Maximise quality, efficiency and effectiveness
The positive negotiation construct states that:;The winner must take all;The pie should be enlarged so that both can benefit;Both should keep yielding all the time;None of the above;The pie should be enlarged so that both can benefit
Negotiations usually take time because:;People want to delay the outcomes;Individual and mutual interests are not discussed upfront openly;People are afraid to take decisions;None of the above;Individual and mutual interests are not discussed upfront openly
Culture impacts holistically:;Collaboration;Competition;Negotiation;All the above;All the above
An important framework of positive culture in an organisation comprises:;Trust;Performance;Ethical compliance;All the above;All the above
In today's world, leaders of national industries are required to forecast and contend additionally with:;Only local developments;Only national developments;Global economic and geo-political developments, increasingly;Only company competition;Global economic and geo-political developments, increasingly
One of the important factors influencing new companies coming into an industry is:;High market shares of the incumbent firms;Attractiveness of incumbent companies;Industry attractiveness;None of the above;Industry attractiveness
Risk and reward tend to be both the highest in the following phase of a new product:;Growth phase;Introduction phase;Maturity phase;Decline phase;Introduction phase
Generally, an industry tends to get fragmented when it has:;High mobility barriers;Low mobility barriers;High entry barriers;High mobility and exit barriers, and low entry barriers;High mobility and exit barriers, and low entry barriers
For the energy giants, the following is the new energy fuel for futuristic business development:;Methane;Oxygen;Hydrogen;Nitrogen;Hydrogen
Consolidation and revival of a fragmented industry could be a feasible solution when the industry has:;Market contraction;Low exit barriers;Low entry barriers;High mobility barriers;Low exit barriers
Fragmentation of an industry can be countered by:;Reducing product count;Adding new products;Adding new players;Economies of scale through consolidation;Economies of scale through consolidation
Mature industries are characterized by:;Accelerating growth;Slowing growth;Accelerating revenue;Burgeoning profits;Slowing growth
A mature industry requires the following factor-set to stay competitive:;Proactive understanding of what could be the market and industry evolution;Integration of a start-up culture for newness;Efficiency and effectiveness across the value chain;All the above;All the above
Entry into new businesses, with control of ownership, is accelerated the most by:;Organic projects;collaborations;Mergers and acquisitions;Alliances;Mergers and acquisitions
Entry into a new business organically involves creation of a new entity that is either legally separate or a division of the company. This will include new R&D, production and marketing as well as activities related to the new business. This organic approach has the advantage of:;Full control over the value chain;Only using existing manpower;Only using existing facilities;Only using existing markets;Full control over the value chain
At every stage of a company, progressive business development can be carried out as per a:;Single horizon strategy;No horizon strategy;Three or Multi horizon strategy;None of the above;Three or Multi horizon strategy
For establishing a business, the first key question for a founder must be:;What should be the profit?;What should be the scale?;Which should be the location?;Which industry to be in?;Which industry to be in?
Orchid Chemicals & Pharmaceuticals Ltd deployed all the business development structures discussed in this Business Development course. These include, among others:;Strategic alliances;Subsidiaries;Joint ventures and M&A;All the above;All the above
For an integrated value chain company, which of the following is a true statement?;R&D is required for Manufacturing to produce a product;R&D is required to occur after Manufacturing is established;Marketing can take place without Manufacturing;Manufacturing can take place without R&D;R&D is required for Manufacturing to produce a product
The advantage of 'global-local' matrix organisation of a global corporation is that it:;Balances local autonomy with global standardisation;Imposes global thinking on local company;Imposes local thinking on global parent;None of the above;Balances local autonomy with global standardisation
Rebuilding business and value in a business turnaround requires:;Scale up of business first, followed by diversification and survival with consolidation in the end;Survival and consolidation of business first, followed by scale-up and diversification in the end;Diversification of business first, followed by scale-up and survival with consolidation in the end;Survival, consolidation, scale-up and diversification all simultaneously from the beginning;Survival and consolidation of business first, followed by scale-up and diversification in the end
In Pharmaceutical Quality Consulting, business development will be more effective, if the company has the following capability:;R&D In biological drugs rather than synthetic drugs;A singular focus on sterile injectable products;A singular focus on one regulatory agency standards;Competence in multiple quality domains and requirements for approvals from multiple regulatory agencies;Competence in multiple quality domains and requirements for approvals from multiple regulatory agencies
For successful Quality Consulting that is not domain specific, which of the following strategic questions is more relevant than others?;Where to compete;How to compete;When to compete;Whether to compete;How to compete
Titan's core competency in watch engineering may be termed as:;Precision engineering;Heavy engineering;Custom engineering;Foreign engineering;Precision engineering
Titan's grand growth spanning three generations of leaders, Xerxes Desai, Bhaskar Bhat and CK Venkataraman, all from a large internal leadership bench, illustrates the importance of the following in successful business development:;Individuals;Managers;Innovative leaders and seamless leadership transitions;Investors;Innovative leaders and seamless leadership transitions
